src	trg	nij	score
0	1	4	0.7771489968975596
0	2	5	0.8506220465717407
0	3	3	0.6709743547958451
0	4	3	0.6709743547958451
0	5	3	0.6709743547958451
0	6	3	0.6709743547958451
0	7	2	0.5189829019090301
0	8	2	0.5189829019090301
0	10	2	0.5189829019090301
0	11	3	0.6709743547958451
0	12	1	0.3033438187806057
0	13	3	0.6709743547958451
0	17	2	0.5189829019090301
0	19	2	0.5189829019090301
0	21	2	0.5189829019090301
0	31	2	0.5189829019090301
1	2	6	0.85354805428224
1	3	3	0.59132440363008
1	7	4	0.7049096534425601
1	13	5	0.7902847999999999
1	17	1	0.24855252189184018
1	19	2	0.4421533987635198
1	21	2	0.4421533987635198
1	30	2	0.4421533987635198
2	3	3	0.6416425472462113
2	7	4	0.7545580628404196
2	8	5	0.8354932646297146
2	9	1	0.2779349949480864
2	13	3	0.6416425472462113
2	27	2	0.4868418817692933
2	28	2	0.4868418817692933
2	32	2	0.4868418817692933
3	7	3	0.5555555555555555
3	12	3	0.5555555555555555
3	13	3	0.5555555555555555
4	6	2	0.4
4	10	3	0.6
5	6	5	0.7024793388429753
5	10	3	0.47107438016528924
5	16	3	0.47107438016528924
8	30	3	0.51
8	32	3	0.51
8	33	4	0.64
14	32	3	0.6
14	33	2	0.4
15	32	3	0.4285714285714286
15	33	4	0.5714285714285714
18	32	1	0.33333333333333326
18	33	2	0.6666666666666666
20	32	3	0.75
20	33	1	0.25
22	32	2	0.4
22	33	3	0.6
23	25	5	0.6630210663252452
23	27	4	0.5705441662681701
23	29	3	0.4602249062890461
23	32	5	0.6630210663252452
23	33	4	0.5705441662681701
24	25	2	0.4897959183673469
24	27	3	0.6734693877551021
24	31	2	0.4897959183673469
26	29	4	0.6666666666666666
26	33	2	0.33333333333333326
28	31	2	0.5
28	33	2	0.5
29	32	4	0.6666666666666666
29	33	2	0.33333333333333326
30	32	3	0.5
30	33	3	0.5
31	32	4	0.5
31	33	4	0.5
