src	trg	nij	score
2	8	5	0.2901731964407334
8	30	3	0.9060059640503518
26	29	4	0.8768680410373831
4	6	2	0.3697209528718274
5	6	5	0.5214164633970929
6	16	3	0.8607505789719108
5	16	3	0.10620179535122035
24	25	2	0.3958020170024692
23	25	5	0.4982300630577675
25	31	7	0.6445580707875691
28	31	2	0.33932660192217085
4	10	3	0.5700920492864641
5	10	3	0.32169617288108426
24	27	3	0.5315108988558529
23	27	4	0.35690849956413817
2	3	3	0.16631845952291072
1	3	3	0.13252193631122294
3	12	3	0.3942285038914957
2	28	2	0.14936194857737417
1	2	6	0.26169386382045684
0	2	5	0.1146196957054254
3	7	3	0.2836120003056973
2	7	4	0.1476000333621345
1	7	4	0.1176071632509122
3	13	3	0.2813743533930377
2	13	3	0.10983577196207751
1	13	5	0.14584178961933222
0	1	4	0.12817507029158437
30	32	3	0.12871434200816395
29	32	4	0.16845312783576044
31	32	4	0.16030305002696027
20	32	3	0.1357449702357541
14	32	3	0.13213620179649915
15	32	3	0.12546523659937825
27	33	4	0.11167930464069045
32	33	5	0.13565419779250038
1	19	2	0.11530046002019943
1	21	2	0.11530046002019943
