src	trg	nij	score
0	1	4	0.9705882352941176
0	2	5	0.9411764705882353
0	3	3	0.9117647058823529
0	4	3	0.9705882352941176
0	5	3	0.9705882352941176
0	6	3	0.9117647058823529
0	7	2	0.8529411764705882
0	8	2	0.8823529411764706
0	10	2	0.9117647058823529
0	11	3	0.9705882352941176
0	12	1	0.8529411764705882
0	13	3	0.8823529411764706
0	17	2	0.9411764705882353
0	19	2	0.9411764705882353
0	21	2	0.9411764705882353
0	31	2	0.7941176470588235
1	2	6	0.9411764705882353
1	3	3	0.9117647058823529
1	7	4	0.8823529411764706
1	13	5	0.8823529411764706
1	17	1	0.9411764705882353
1	19	2	0.9411764705882353
1	21	2	0.9411764705882353
1	30	2	0.8823529411764706
2	3	3	0.9117647058823529
2	7	4	0.9117647058823529
2	8	5	0.9705882352941176
2	9	1	0.9705882352941176
2	13	3	0.8823529411764706
2	27	2	0.9117647058823529
2	28	2	0.9705882352941176
2	32	2	0.5588235294117647
3	7	3	0.8823529411764706
3	12	3	0.9705882352941176
3	13	3	0.8823529411764706
4	6	2	0.9117647058823529
4	10	3	0.9117647058823529
5	6	5	0.9117647058823529
5	10	3	0.9117647058823529
5	16	3	0.9117647058823529
6	16	3	0.9411764705882353
8	30	3	0.9411764705882353
8	32	3	0.5
8	33	4	0.38235294117647056
9	33	2	0.3235294117647059
13	33	3	0.38235294117647056
14	32	3	0.5
14	33	2	0.3235294117647059
15	32	3	0.5
15	33	4	0.3235294117647059
18	32	1	0.5
18	33	2	0.3235294117647059
19	33	1	0.3235294117647059
20	32	3	0.5
20	33	1	0.29411764705882354
22	32	2	0.5
22	33	3	0.3235294117647059
23	25	5	0.9411764705882353
23	27	4	0.8529411764705882
23	29	3	0.9411764705882353
23	32	5	0.5
23	33	4	0.3235294117647059
24	25	2	0.9411764705882353
24	27	3	0.8529411764705882
24	31	2	0.7941176470588235
25	31	7	0.8235294117647058
26	29	4	0.9411764705882353
26	33	2	0.3235294117647059
27	33	4	0.35294117647058826
28	31	2	0.8529411764705882
28	33	2	0.3235294117647059
29	32	4	0.5294117647058824
29	33	2	0.29411764705882354
30	32	3	0.5
30	33	3	0.3235294117647059
31	32	4	0.5882352941176471
31	33	4	0.35294117647058826
32	33	5	0.38235294117647056
