src	trg	nij	score
0	1	4	0.9990988394032979
0	2	5	0.9839046095904022
0	3	3	0.9167857087365315
0	4	3	0.9976514803630747
0	5	3	0.9976514803630747
0	6	3	0.8891140309631019
0	7	2	0.578746909630796
0	8	2	0.86380340460843
0	10	2	0.8205946723801485
0	11	3	0.9976514803630747
0	12	1	0.8348131440464954
0	13	3	0.7483639760778658
0	17	2	0.9820783510796809
0	19	2	0.9627131691235667
0	21	2	0.9627131691235667
0	31	2	0.578746909630796
1	2	6	0.9997751829428868
1	3	3	0.9828117153382415
1	7	4	0.9857870426222021
1	13	5	0.9954924098815616
1	17	1	0.9575365364816553
1	19	2	0.9902814815286349
1	21	2	0.9902814815286349
1	30	2	0.9824469916530973
2	3	3	0.9887306575702592
2	7	4	0.9914277906108305
2	8	5	0.9999343670576957
2	9	1	0.9957589288593711
2	13	3	0.9540082136087351
2	27	2	0.9443446159328244
2	28	2	0.9990120276118251
2	32	2	0.39028791388274275
3	7	3	0.9982005403559989
3	12	3	0.9999788101918523
3	13	3	0.9976514803630747
4	6	2	0.9985775863934478
4	10	3	0.9999681379435454
5	6	5	0.9999897942520438
5	10	3	0.9993652382168074
5	16	3	0.9997837058480377
6	16	3	0.9999985922700362
8	30	3	0.9999247997209775
8	32	3	0.9435680966143016
8	33	4	0.9408876569859234
9	33	2	0.9912930144524488
13	33	3	0.9962274111489823
14	32	3	0.9939363265961633
14	33	2	0.9128088087092419
15	32	3	0.9812774571937509
15	33	4	0.9838320910659423
18	32	1	0.9307755894308241
18	33	2	0.9747062659332962
19	33	1	0.9812414092587934
20	32	3	0.9972273651291299
20	33	1	0.7976578472580861
22	32	2	0.9643461194503297
22	33	3	0.9788213178337586
23	25	5	0.9999490922084592
23	27	4	0.9984902492785197
23	29	3	0.9959438712012391
23	32	5	0.9174018493303643
23	33	4	0.5575026387736715
24	25	2	0.9986569818307631
24	27	3	0.9998186038369554
24	31	2	0.9924663992185465
25	31	7	0.9999999909199473
26	29	4	0.9999986328391047
26	33	2	0.8696503452759424
27	33	4	0.9983834650410671
28	31	2	0.9984100947088899
28	33	2	0.9483089384052126
29	32	4	0.9981533926664745
29	33	2	0.8696503452759424
30	32	3	0.9887306575702592
30	33	3	0.9624734491406871
31	32	4	0.9938040116700502
31	33	4	0.9732272731663675
32	33	5	0.9993081670972704
