src	trg	w
306	0	17
830	0	11
1599	0	13
273	0	19
3061	1	9
1119	1	15
9	1	10
410	1	2
21	1	10
1522	1	1
263	1	2
79	1	6
350	1	12
173	1	1
1047	1	5
1092	1	12
50	1	15
84	1	14
57	1	2
127	1	5
557	1	16
203	1	5
161	1	1
306	1	14
66	1	20
16	1	15
2	1	17
391	1	19
1734	2	8
331	2	15
3574	2	14
3774	2	6
3061	2	14
34	2	11
9	2	13
2396	2	16
1246	2	2
410	2	14
2879	2	15
1407	2	11
154	2	2
147	2	19
496	2	7
1919	2	5
11	2	12
1307	2	2
2214	2	10
772	2	1
1560	2	4
1415	2	3
16	2	4
24	2	20
1535	2	17
204	2	3
272	2	7
442	2	11
42	2	1
326	2	20
391	2	2
96	2	16
350	2	8
1092	2	13
77	2	5
203	2	8
947	2	12
518	2	8
548	2	15
79	2	15
105	2	1
58	2	6
176	2	9
306	2	4
102	2	1
14	2	17
212	2	7
15	2	3
5	2	18
21	2	8
1	2	1
161	2	15
410	3	11
557	3	11
173	3	16
57	3	14
25	3	15
14	3	12
1398	4	11
3061	4	19
1342	4	2
1755	4	8
2384	4	2
139	4	17
1522	4	1
1047	4	20
53	4	6
38	4	20
306	4	4
14	4	3
331	5	5
139	5	4
2	5	16
66	5	10
14	5	3
106	5	2
15	5	10
7	6	8
306	7	14
59	7	20
877	7	10
777	7	17
391	7	19
96	7	11
24	9	3
161	9	4
1645	9	6
11	9	3
2	9	1
3061	9	7
892	9	8
16	9	2
180	9	10
2214	9	20
1739	9	14
1092	9	16
496	9	6
203	9	2
104	9	8
224	9	13
1526	9	19
507	9	2
173	9	12
407	9	9
350	9	10
272	9	10
704	9	11
877	9	15
375	9	19
79	9	4
7	9	20
105	9	17
1047	9	15
326	9	3
777	9	18
212	9	12
50	9	17
102	9	16
21	9	13
391	9	7
139	9	11
58	9	10
14	9	17
77	9	3
96	9	15
3574	11	3
272	11	18
4111	11	12
2858	11	12
1920	11	8
4003	11	12
104	11	1
3057	11	8
1729	11	10
84	11	10
1645	11	3
1971	11	10
514	11	3
330	11	17
147	11	14
1030	11	20
96	11	9
364	11	19
411	11	15
326	11	9
1047	11	16
1173	11	9
2065	11	9
892	11	14
2006	11	20
1342	11	7
1522	11	18
627	11	3
204	11	20
2052	11	4
496	11	1
228	11	2
14	11	11
31	11	18
224	11	7
79	11	13
77	11	19
2729	11	4
2214	11	15
102	11	2
375	11	5
777	11	19
2189	11	1
1476	11	12
192	11	19
173	11	15
507	11	7
1398	11	8
1739	11	20
362	11	17
516	11	14
748	11	18
139	11	12
448	11	17
244	12	2
1988	12	9
93	12	15
410	13	1
496	13	14
31	13	14
841	13	9
98	13	2
92	13	17
192	13	2
1199	13	4
1555	13	9
1247	14	6
530	14	1
161	14	18
1085	14	16
1615	14	11
289	14	11
1407	14	15
1307	14	15
11	14	19
627	14	13
16	14	20
2069	14	13
177	14	15
375	14	9
799	14	8
436	14	11
492	14	1
496	14	9
1919	14	5
2214	14	18
2034	14	16
1522	14	10
1739	14	8
53	14	17
507	14	7
1566	14	12
1047	14	5
87	14	12
173	14	19
212	14	18
272	14	2
1199	14	11
228	14	14
548	14	17
84	14	8
104	14	10
15	14	1
832	14	18
216	14	20
877	14	4
350	14	7
50	14	6
518	14	5
777	14	9
79	14	10
59	14	8
19	14	4
102	14	7
63	14	13
306	14	3
21	14	5
176	14	5
317	14	17
97	14	8
139	14	12
105	14	11
147	14	15
9	14	9
58	14	19
77	14	1
3	14	2
96	14	7
57	14	1
194	15	14
1326	15	18
104	15	12
115	15	20
14	15	15
57	15	11
5	15	20
3774	16	12
173	16	18
3061	16	20
9	16	3
496	16	20
147	16	4
21	16	8
203	16	8
410	16	4
2	16	12
395	16	20
212	16	5
7	16	16
1	16	11
84	16	5
24	16	10
139	16	20
306	16	18
755	16	16
176	16	18
57	16	19
58	16	8
42	16	11
106	16	2
130	16	2
14	16	1
96	16	19
66	16	16
452	17	10
436	17	2
321	17	19
147	17	3
1114	18	14
1971	18	10
306	18	10
1920	18	15
1719	18	8
176	18	13
1895	19	3
3057	19	13
469	19	7
1560	19	13
3061	19	17
34	19	16
1326	19	10
2396	19	7
1407	19	20
2069	19	9
2006	19	3
2178	19	18
176	19	8
330	19	9
139	19	19
171	19	4
496	19	9
42	19	6
24	19	17
1739	19	1
1522	19	11
53	19	2
127	19	7
507	19	11
173	19	6
272	19	10
147	19	17
877	19	12
220	19	12
1047	19	18
212	19	5
350	19	10
14	19	2
66	19	13
326	19	11
84	19	12
79	19	13
50	19	15
777	19	10
522	19	17
216	19	2
57	19	16
102	19	11
391	19	12
96	19	20
77	19	2
21	19	14
317	19	6
204	19	4
306	19	8
105	19	9
3057	21	9
3774	21	14
410	21	6
557	21	19
3061	21	8
232	21	18
507	21	12
249	21	7
496	21	10
203	21	9
16	21	4
1535	21	17
2214	21	3
1522	21	8
48	21	5
272	21	11
395	21	16
375	21	19
180	21	4
436	21	11
173	21	7
1199	21	15
317	21	19
442	21	14
58	21	6
79	21	4
204	21	7
1047	21	11
350	21	3
50	21	19
176	21	3
212	21	8
3	21	16
102	21	5
105	21	6
57	21	4
391	21	1
19	21	18
96	21	15
306	21	5
9	21	3
77	21	10
14	21	1
2	21	18
147	21	13
887	22	7
2958	24	7
11	24	5
3574	24	20
1106	24	1
363	24	8
410	24	9
1729	24	14
3061	24	9
461	24	16
1462	24	18
1307	24	18
2214	24	12
34	24	11
9	24	15
179	24	17
627	24	1
2069	24	5
496	24	19
2086	24	17
330	24	4
1919	24	18
1047	24	20
21	24	18
395	24	2
19	24	4
102	24	13
147	24	16
57	24	16
605	24	19
1719	24	10
563	24	15
1199	24	2
87	24	11
781	24	11
50	24	8
79	24	17
777	24	18
212	24	11
228	24	18
391	24	3
84	24	19
1114	24	4
2	24	2
582	24	13
14	24	5
18	24	19
16	24	13
96	24	4
306	24	2
161	24	15
204	24	3
58	24	2
105	24	6
77	24	17
42	24	19
1398	25	13
1919	25	13
306	25	18
147	25	3
77	25	9
105	25	18
34	26	8
603	26	5
3956	27	16
1728	27	5
331	29	6
291	30	7
2600	30	1
94	30	12
3344	30	1
1882	30	18
2921	30	17
633	30	9
2917	30	7
2396	30	13
411	30	18
1367	30	14
2481	30	11
139	30	13
2214	30	9
488	30	9
2262	30	16
658	30	17
53	30	18
1522	30	7
395	30	1
1739	30	6
384	30	18
296	30	8
224	30	11
496	30	2
1560	30	1
1734	30	10
79	30	12
173	30	19
306	30	20
1713	30	15
272	30	4
228	30	16
733	30	4
1247	30	13
230	30	20
1398	30	13
317	30	18
350	30	13
1047	30	5
364	30	2
436	30	9
96	30	2
212	30	15
77	30	19
1172	30	4
147	30	11
1837	31	17
1183	31	20
770	31	5
362	31	1
3956	31	12
